hashtag,date,n
#blinks,2021-10-27T19,0.49666666666666665
#blinks,2021-10-27T20,0.4633333333333334
#blinks,2021-10-27T21,0.37999999999999995
#blinks,2021-10-27T22,0.27666666666666667
#blinks,2021-10-27T23,0.25666666666666665
#blinks,2021-10-28T00,0.25666666666666665
#blinks,2021-10-28T01,0.5166666666666667
#blinks,2021-10-28T02,0.7566666666666667
#blinks,2021-10-28T03,0.705
#blinks,2021-10-28T04,0.555
#blinks,2021-10-28T05,0.3116666666666667
#blinks,2021-10-28T06,0.41
#blinks,2021-10-28T07,0.38666666666666666
#blinks,2021-10-28T08,0.3733333333333333
#blinks,2021-10-28T09,0.2866666666666667
#blinks,2021-10-28T10,0.22999999999999998
#blinks,2021-10-28T11,0.17900000000000002
#blinks,2021-10-28T12,0.4323333333333333
#blinks,2021-10-28T13,0.629
#blinks,2021-10-28T14,0.71
#blinks,2021-10-28T15,0.42333333333333334
#blinks,2021-10-28T16,0.2866666666666667
#blinks,2021-10-28T17,0.25333333333333335
#blinks,2021-10-28T18,0.2836666666666667
#blinks,2021-10-28T19,0.18366666666666664
#blinks,2021-10-28T20,0.21033333333333334
#blinks,2021-10-28T21,0.2006666666666667
#blinks,2021-10-28T22,2.504
#blinks,2021-10-28T23,2.754
#blinks,2021-10-29T00,2.8033333333333332
#blinks,2021-10-29T01,1.0033333333333332
#blinks,2021-10-29T02,0.9800000000000001
#blinks,2021-10-29T03,1.0766666666666667
#blinks,2021-10-29T04,0.6066666666666668
#blinks,2021-10-29T05,0.2966666666666667
#blinks,2021-10-29T06,0.25333333333333335
#blinks,2021-10-29T07,0.16333333333333333
#blinks,2021-10-29T08,0.16333333333333333
#climateactioninyourarea,2021-10-24T08,0.08333333333333333
#climateactioninyourarea,2021-10-24T09,0.08333333333333333
#climateactioninyourarea,2021-10-24T10,0.08333333333333333
#climateactioninyourarea,2021-10-24T11,0.0
#climateactioninyourarea,2021-10-24T12,0.0
#climateactioninyourarea,2021-10-24T13,0.0
#climateactioninyourarea,2021-10-24T14,0.0
#climateactioninyourarea,2021-10-24T15,0.08333333333333333
#climateactioninyourarea,2021-10-24T16,0.08333333333333333
#climateactioninyourarea,2021-10-24T17,0.16666666666666666
#climateactioninyourarea,2021-10-24T18,0.08333333333333333
#climateactioninyourarea,2021-10-24T19,0.08333333333333333
#climateactioninyourarea,2021-10-24T20,0.0
#climateactioninyourarea,2021-10-24T21,0.0
#climateactioninyourarea,2021-10-24T22,0.0
#climateactioninyourarea,2021-10-24T23,0.0
#climateactioninyourarea,2021-10-25T00,0.0
#climateactioninyourarea,2021-10-25T01,0.08333333333333333
#climateactioninyourarea,2021-10-25T02,0.08333333333333333
#climateactioninyourarea,2021-10-25T03,0.08333333333333333
#climateactioninyourarea,2021-10-25T04,0.0
#climateactioninyourarea,2021-10-25T05,0.0
#climateactioninyourarea,2021-10-25T06,0.0
#climateactioninyourarea,2021-10-25T07,0.0
#climateactioninyourarea,2021-10-25T08,0.0
#climateactioninyourarea,2021-10-25T09,0.0
#climateactioninyourarea,2021-10-25T10,0.0
#climateactioninyourarea,2021-10-25T11,0.0
#climateactioninyourarea,2021-10-25T12,0.0
#climateactioninyourarea,2021-10-25T13,0.0
#climateactioninyourarea,2021-10-25T14,0.0
#climateactioninyourarea,2021-10-25T15,0.0
#climateactioninyourarea,2021-10-25T16,0.0
